city,team1,team2,toss_winner,toss_decision,venue,team1_last_5_scored,team1_last_5_conceded,team2_last_5_scored,team2_last_5_conceded,team1_win
Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,160.0,160.0,160.0,160.0,0
Chandigarh,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",160.0,160.0,160.0,160.0,0
Delhi,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Feroz Shah Kotla,160.0,160.0,160.0,160.0,1
Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Wankhede Stadium,160.0,160.0,82.0,222.0,0
Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Eden Gardens,222.0,82.0,160.0,160.0,1
Jaipur,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Sawai Mansingh Stadium,129.0,132.0,207.0,240.0,1
Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal",110.0,112.0,132.0,129.0,0
Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",240.0,207.0,165.0,166.0,1
Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",126.0,127.5,148.5,149.0,0
Chandigarh,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",186.5,204.0,183.5,187.0,1
Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,M Chinnaswamy Stadium,124.0,193.5,171.33,170.67,0
Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",224.0,204.5,167.0,96.0,1
Mumbai,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dr DY Patil Sports Academy,161.0,185.33,155.33,157.33,0
Chandigarh,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,"Punjab Cricket Association Stadium, Mohali",185.0,174.67,137.5,135.5,1
Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,M Chinnaswamy Stadium,127.67,175.0,200.0,185.33,0
Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens,160.33,114.67,159.25,177.75,0
Delhi,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Feroz Shah Kotla,144.33,144.33,137.0,175.75,1
Hyderabad,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,"Rajiv Gandhi International Stadium, Uppal",155.25,156.5,179.25,170.5,0
Jaipur,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Sawai Mansingh Stadium,163.0,161.75,154.5,120.5,1
Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",194.5,180.25,156.0,153.5,0
Chandigarh,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,"Punjab Cricket Association Stadium, Mohali",176.8,169.2,153.8,135.6,1
Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,M Chinnaswamy Stadium,145.8,178.8,157.0,158.6,1
Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Dr DY Patil Sports Academy,155.0,169.6,159.2,156.6,1
Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Sawai Mansingh Stadium,169.6,159.6,189.4,178.6,1
Bangalore,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,M Chinnaswamy Stadium,160.6,165.0,171.0,155.0,0
Chennai,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,"MA Chidambaram Stadium, Chepauk",163.2,159.2,165.6,167.4,0
Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Dr DY Patil Sports Academy,154.4,163.0,165.8,155.0,1
Delhi,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla,159.4,163.2,150.4,148.4,0
Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Eden Gardens,143.2,154.8,152.6,157.4,1
Jaipur,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Sawai Mansingh Stadium,152.8,142.6,166.8,167.6,1
Chennai,Chennai Super Kings,Punjab Kings,Punjab Kings,field,"MA Chidambaram Stadium, Chepauk",157.6,156.4,163.2,146.6,1
Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal",152.0,152.4,146.6,157.6,0
Jaipur,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,Sawai Mansingh Stadium,137.6,127.8,168.2,172.4,1
Chandigarh,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"Punjab Cricket Association Stadium, Mohali",159.4,159.6,150.4,155.6,1
Kolkata,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Eden Gardens,158.0,163.4,167.8,171.8,1
Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Wankhede Stadium,134.8,142.0,158.2,156.0,1
Delhi,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Feroz Shah Kotla,151.6,162.2,157.2,162.4,1
Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium,143.2,136.8,157.2,157.8,1
Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Feroz Shah Kotla,156.0,164.8,155.8,156.6,0
Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sawai Mansingh Stadium,141.8,132.0,146.0,148.8,1
Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,"Rajiv Gandhi International Stadium, Uppal",160.8,167.8,126.0,119.2,0
Kolkata,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Eden Gardens,140.4,132.2,155.6,153.2,0
Bangalore,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,M Chinnaswamy Stadium,136.2,150.0,153.0,151.2,0
Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Eden Gardens,136.4,107.6,142.0,128.2,0
Mumbai,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Wankhede Stadium,134.0,122.4,141.2,147.4,0
Chennai,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,"MA Chidambaram Stadium, Chepauk",144.8,161.0,135.8,151.0,0
Chandigarh,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,"Punjab Cricket Association Stadium, Mohali",143.4,151.2,160.8,172.2,1
Delhi,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Feroz Shah Kotla,147.2,144.4,139.2,133.6,1
Chennai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",138.4,156.6,150.0,135.8,0
Kolkata,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Eden Gardens,140.0,112.8,153.6,161.0,1
