data_snapshot_id,source,last_updated_utc,match_no,date,team1,team2,venue,city,status,winner,team1_score,team2_score
ipl-live-20260517-063603,Cricbuzz points table + CricAPI live ingest,2026-05-17T06:36:03.471284+00:00,61,2026-05-17,Punjab Kings,Royal Challengers Bengaluru,HPCA Stadium,Dharamsala,scheduled,,,
ipl-live-20260517-063603,Cricbuzz points table + CricAPI live ingest,2026-05-17T06:36:03.471284+00:00,62,2026-05-18,Chennai Super Kings,Rajasthan Royals,MA Chidambaram Stadium,Chennai,scheduled,,,
ipl-live-20260517-063603,Cricbuzz points table + CricAPI live ingest,2026-05-17T06:36:03.471284+00:00,63,2026-05-19,Sunrisers Hyderabad,Gujarat Titans,Rajiv Gandhi International Stadium,Hyderabad,scheduled,,,
ipl-live-20260517-063603,Cricbuzz points table + CricAPI live ingest,2026-05-17T06:36:03.471284+00:00,64,2026-05-20,Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,Delhi,scheduled,,,
ipl-live-20260517-063603,Cricbuzz points table + CricAPI live ingest,2026-05-17T06:36:03.471284+00:00,65,2026-05-21,Kolkata Knight Riders,Lucknow Super Giants,Eden Gardens,Kolkata,scheduled,,,
ipl-live-20260517-063603,Cricbuzz points table + CricAPI live ingest,2026-05-17T06:36:03.471284+00:00,66,2026-05-22,Sunrisers Hyderabad,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,Hyderabad,scheduled,,,
ipl-live-20260517-063603,Cricbuzz points table + CricAPI live ingest,2026-05-17T06:36:03.471284+00:00,67,2026-05-22,Punjab Kings,Delhi Capitals,HPCA Stadium,Dharamsala,scheduled,,,
ipl-live-20260517-063603,Cricbuzz points table + CricAPI live ingest,2026-05-17T06:36:03.471284+00:00,68,2026-05-23,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,Ahmedabad,scheduled,,,
ipl-live-20260517-063603,Cricbuzz points table + CricAPI live ingest,2026-05-17T06:36:03.471284+00:00,69,2026-05-24,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai,scheduled,,,
ipl-live-20260517-063603,Cricbuzz points table + CricAPI live ingest,2026-05-17T06:36:03.471284+00:00,70,2026-05-24,Lucknow Super Giants,Chennai Super Kings,Ekana Cricket Stadium,Lucknow,scheduled,,,
